country,total cases,new cases,total death,new death,total reovered,new recovered,active cases,critical
USA,"101,213,638",,"1,109,394                                ",,"98,461,586",,"1,642,658","3,746"
India,"44,675,509",,"530,653                                ",,"44,139,558",,"5,298",698
France,"38,331,430",,"159,517                                ",,"37,128,030",,"1,043,883",869
Germany,"36,726,061",,"158,851                                ",,"36,042,800","+27,000","524,410","1,406"
Brazil,"35,563,044",,"690,739                                ",,"34,354,889",,"517,416","8,318"
S. Korea,"27,611,555","+62,734","30,975                                ",+67,"26,550,948","+23,030","1,029,632",442
Japan,"25,687,798",,"51,062                                ",,"20,794,181",,"4,842,555",363
Italy,"24,488,080",,"181,733                                ",,"23,799,178",,"507,169",320
UK,"24,024,746",,"197,253                                ",,"23,768,029","+2,879","59,464",146
Russia,"21,643,194",,"392,454                                ",,"21,043,426",,"207,314","2,300"
Turkey,"17,005,537",,"101,400                                ",,N/A,N/A,N/A,
Spain,"13,614,807",,"116,108                                ",,"13,403,322",,"95,377",339
Vietnam,"11,519,539",,"43,178                                ",,"10,609,370",,"866,991",69
Australia,"10,850,482","+15,221","16,438                                ",+31,"10,546,102",,"287,942",95
Argentina,"9,739,856",,"130,034                                ",,"9,591,684",,"18,138",241
Netherlands,"8,547,416",,"22,926                                ",,"8,502,452","+1,232","22,038",43
Taiwan,"8,441,828","+14,359","14,617                                ",+32,"8,132,187","+16,516","295,024",
Iran,"7,560,048",,"144,651                                ",,"7,335,415",,"79,982",71
Mexico,"7,152,852",,"330,633                                ",,"6,410,982",,"411,237","4,798"
Indonesia,"6,692,509",,"160,139                                ",,"6,486,808",,"45,562","2,771"
Poland,"6,356,729",,"118,365                                ",,"5,335,940",,"902,424","1,530"
Colombia,"6,323,357",,"141,943                                ",,"6,145,467",,"35,947",342
Austria,"5,600,568",,"21,257                                ",,"5,529,406",,"49,905",47
Portugal,"5,549,479",,"25,584                                ",,"5,504,951",,"18,944",61
Greece,"5,404,690",,"34,309                                ",,"5,364,069","+6,312","6,312",115
Ukraine,"5,346,094",,"110,640                                ",,"5,220,827",,"14,627",
Malaysia,"5,006,855",,"36,742                                ",,"4,948,640",,"21,473",81
Chile,"4,949,655",,"62,659                                ",,"4,877,836",,"9,160",127
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,
Israel,"4,734,801",,"11,905                                ",,"4,709,234",,"13,662",54
Thailand,"4,711,528",,"33,285                                ",,"4,649,509",,"28,734","1,496"
Belgium,"4,648,042",,"33,100                                ",,"4,588,708","+2,073","26,234",48
Czechia,"4,565,229",,"41,937                                ",,"4,512,822",,"10,470",53
Canada,"4,423,053",,"48,044                                ",,"4,319,230","+2,449","55,779",99
Peru,"4,344,977",,"217,604                                ",,"4,006,385","+6,859","120,988",119
Switzerland,"4,335,513",,"14,343                                ",,"4,243,361","+4,521","77,809",66
Philippines,"4,045,358",,"64,820                                ",,"3,962,544",,"17,994",162
South Africa,"4,044,422",,"102,550                                ",,"3,912,506",,"29,366",192
Romania,"3,298,738",,"67,289                                ",,"3,227,158",,"4,291",101
Denmark,"3,152,698",,"7,573                                ",,"3,137,525",,"7,600",10
Sweden,"2,640,369",,"21,202                                ",,"2,597,385",,"21,782",33
Iraq,"2,464,375",,"25,366                                ",,"2,437,963",,"1,046",21
Serbia,"2,428,291",,"17,426                                ",,"2,400,207",,"10,658",23
Hong Kong,"2,203,790",,"10,891                                ",,"1,916,944",,"275,955",20
Singapore,"2,177,701",,"1,707                                ",,"2,101,632",,"74,362",6
Hungary,"2,171,056",,"48,337                                ",,"2,109,635",,"13,084",14
Bangladesh,"2,036,730",,"29,436                                ",,"1,986,320",,"20,974","1,331"
New Zealand,"1,979,614",,"3,337                                ",,"1,942,897",,"33,380",
Slovakia,"1,856,853",,"20,750                                ",,"1,834,599",,"1,504",23
Georgia,"1,807,654",,"16,888                                ",,"1,776,548",,"14,218",
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59
Ireland,"1,680,548",,"8,159                                ",,"1,667,923",,"4,466",11
Pakistan,"1,575,425",+18,"30,635                                ",+1,"1,538,689",,"6,101",25
Norway,"1,470,431",,"4,498                                ",,"1,463,277",,"2,656",20
Finland,"1,417,909",,"7,572                                ",,"1,373,776",,"36,561",21
Kazakhstan,"1,398,264",+203,"13,693                                ",,"1,383,020",,"1,551",24
Bulgaria,"1,288,586",,"38,056                                ",,"1,246,177",,"4,353",37
Lithuania,"1,279,559",,"9,442                                ",,"1,263,367",,"6,750",8
Slovenia,"1,271,249",,"6,946                                ",,"1,244,963",,"19,340",18
Morocco,"1,269,851",,"16,287                                ",,"1,252,494",,"1,070",293
Croatia,"1,256,073",,"17,379                                ",,"1,236,233",,"2,461",16
Lebanon,"1,220,988",,"10,741                                ",,"1,087,587",,"122,660",74
Guatemala,"1,166,662",,"19,960                                ",,"1,135,487",,"11,215",5
Costa Rica,"1,148,914",,"9,046                                ",,"860,711",,"279,157",52
Tunisia,"1,147,145",,"29,269                                ",,N/A,N/A,N/A,44
Bolivia,"1,114,914",,"22,252                                ",,"1,078,832",,"13,830",220
Cuba,"1,111,484",,"8,530                                ",,"1,102,842",,112,23
UAE,"1,045,163",,"2,348                                ",,"1,025,627",,"17,188",
