,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
0,ADBL,                                        309.00,                                        -2.70,                                        -0.87,                                        312.00,                                        315.00,                                        308.00,"                                        25,574.00",                                        311.70
1,ADLB,                                        338.10,                                        6.60,                                        1.99,                                        338.10,                                        338.10,                                        338.10,                                        10.00,                                        331.50
2,AHPC,                                        270.00,                                        -2.80,                                        -1.03,                                        270.00,                                        272.90,                                        269.00,"                                        20,484.00",                                        272.80
3,AIL,                                        405.00,                                        -4.00,                                        -0.98,                                        406.50,                                        411.00,                                        405.00,"                                        1,360.00",                                        409.00
4,AKJCL,                                        169.90,                                        -1.20,                                        -0.70,                                        173.00,                                        173.00,                                        168.50,"                                        15,817.00",                                        171.10
5,AKPL,                                        347.80,                                        1.80,                                        0.52,                                        349.10,                                        349.10,                                        342.50,"                                        16,147.00",                                        346.00
6,ALBSL,                                        906.00,                                        -4.00,                                        -0.44,                                        911.00,                                        918.00,                                        901.00,                                        188.00,                                        910.00
7,ALICL,                                        512.10,                                        -7.90,                                        -1.52,                                        513.00,                                        518.00,                                        511.10,"                                        7,300.00",                                        520.00
8,API,                                        209.50,                                        -1.30,                                        -0.62,                                        211.10,                                        214.00,                                        209.00,"                                        46,265.00",                                        210.80
9,AVYAN,                                        705.00,                                        -1.00,                                        -0.14,                                        706.00,                                        710.00,                                        703.50,"                                        1,425.00",                                        706.00
10,BARUN,                                        203.90,                                        -1.10,                                        -0.54,                                        203.10,                                        206.80,                                        201.00,"                                        15,060.00",                                        205.00
11,BBC,"                                        3,240.00",                                        -10.00,                                        -0.31,"                                        3,190.00","                                        3,240.00","                                        3,190.00",                                        48.00,"                                        3,250.00"
12,BFC,                                        309.00,                                        -1.50,                                        -0.48,                                        316.70,                                        316.70,                                        306.00,"                                        4,172.00",                                        310.50
13,BHDC,                                        343.50,                                        0.40,                                        0.12,                                        340.10,                                        346.50,                                        337.10,"                                        3,370.00",                                        343.10
14,BHL,                                        247.00,                                        -2.90,                                        -1.16,                                        245.00,                                        251.00,                                        242.30,"                                        2,618.00",                                        249.90
15,BNHC,                                        332.00,                                        -4.20,                                        -1.25,                                        330.30,                                        348.90,                                        330.30,                                        280.00,                                        336.20
16,BNT,"                                        12,543.10",                                        -255.90,                                        -2.00,"                                        12,551.00","                                        12,551.00","                                        12,543.10",                                        60.00,"                                        12,799.00"
17,BOKL,                                        216.80,                                        -10.30,                                        -4.54,                                        218.00,                                        224.00,                                        214.20,"                                        47,106.00",                                        227.10
18,BPCL,                                        305.10,                                        -2.90,                                        -0.94,                                        304.90,                                        307.00,                                        304.90,"                                        3,829.00",                                        308.00
19,CBBL,"                                        1,112.00",                                        -2.00,                                        -0.18,"                                        1,115.00","                                        1,119.00","                                        1,108.00","                                        3,828.00","                                        1,114.00"
20,CBL,                                        218.90,                                        -1.90,                                        -0.86,                                        219.00,                                        222.00,                                        218.90,"                                        24,694.00",                                        220.80
21,CCBL,                                        184.90,                                        -1.70,                                        -0.91,                                        185.00,                                        186.00,                                        184.70,"                                        16,476.00",                                        186.60
22,CFCL,                                        300.00,                                        -5.00,                                        -1.64,                                        302.00,                                        310.00,                                        300.00,"                                        8,257.00",                                        305.00
23,CGH,"                                        1,005.00",                                        3.00,                                        0.30,                                        995.00,"                                        1,020.00",                                        995.00,"                                        2,775.00","                                        1,002.00"
24,CHCL,                                        381.00,                                        -6.00,                                        -1.55,                                        390.00,                                        399.00,                                        380.10,"                                        39,436.00",                                        387.00
25,CHDC,                                        655.00,                                        -1.00,                                        -0.15,                                        668.70,                                        668.70,                                        645.00,"                                        9,216.00",                                        656.00
26,CHL,                                        210.50,                                        -1.30,                                        -0.61,                                        211.00,                                        213.00,                                        207.00,"                                        3,553.00",                                        211.80
27,CIT,"                                        1,878.10",                                        -3.90,                                        -0.21,"                                        1,883.00","                                        1,890.00","                                        1,867.00","                                        6,946.00","                                        1,882.00"
28,CLBSL,                                        766.00,                                        -14.00,                                        -1.79,                                        767.00,                                        770.00,                                        766.00,                                        205.00,                                        780.00
29,CMF1,                                        7.21,                                        -0.59,                                        -7.56,                                        7.65,                                        7.65,                                        7.21,"                                        69,120.00",                                        7.80
30,CMF2,                                        8.18,                                        -0.17,                                        -2.04,                                        8.19,                                        8.19,                                        8.18,"                                        1,300.00",                                        8.35
31,CORBL,                                        274.00,                                        -1.00,                                        -0.36,                                        275.00,                                        275.00,                                        270.00,                                        863.00,                                        275.00
32,CZBIL,                                        180.70,                                        -0.80,                                        -0.44,                                        184.00,                                        184.00,                                        180.60,"                                        19,377.00",                                        181.50
33,DDBL,"                                        1,046.00",                                        22.00,                                        2.15,"                                        1,040.00","                                        1,054.00","                                        1,030.00","                                        17,852.00","                                        1,024.00"
34,DHPL,                                        175.00,                                        -4.00,                                        -2.23,                                        178.00,                                        178.00,                                        172.10,"                                        4,473.00",                                        179.00
35,DLBS,                                        355.00,                                        6.90,                                        1.98,                                        355.00,                                        355.00,                                        355.00,                                        14.00,                                        348.10
36,DORDI,                                        234.00,                                        -5.90,                                        -2.46,                                        236.00,                                        240.00,                                        234.00,"                                        2,718.00",                                        239.90
